,gene_id,expected_count
5917,TRINITY_DN15334_c0_g1_i1,93.0
1314,TRINITY_DN11105_c0_g1_i1,93.0
7680,TRINITY_DN16759_c0_g1_i1,93.0
2955,TRINITY_DN1253_c0_g1_i1,92.0
785,TRINITY_DN1066_c0_g1_i1,92.0
2254,TRINITY_DN11912_c0_g1_i1,92.0
9048,TRINITY_DN1786_c0_g1_i1,91.0
7350,TRINITY_DN16479_c0_g1_i1,91.0
7769,TRINITY_DN16827_c0_g1_i1,90.0
1561,TRINITY_DN11323_c0_g1_i1,90.0
7865,TRINITY_DN16901_c0_g1_i1,90.0
756,TRINITY_DN1063_c0_g1_i1,90.0
745,TRINITY_DN1062_c0_g1_i1,90.0
1086,TRINITY_DN10927_c0_g1_i1,90.0
6733,TRINITY_DN15999_c0_g1_i1,89.0
6481,TRINITY_DN15794_c0_g1_i1,89.0
551,TRINITY_DN10445_c0_g1_i1,89.0
367,TRINITY_DN10298_c0_g1_i1,89.0
7162,TRINITY_DN1634_c0_g1_i1,88.0
6506,TRINITY_DN15815_c0_g1_i1,87.0
7114,TRINITY_DN16309_c0_g1_i1,87.0
7426,TRINITY_DN16545_c0_g1_i1,87.0
6789,TRINITY_DN16030_c0_g1_i1,86.0
8821,TRINITY_DN176_c0_g1_i1,86.0
7263,TRINITY_DN16412_c0_g1_i1,86.0
5919,TRINITY_DN15335_c0_g1_i1,85.0
2646,TRINITY_DN12267_c0_g1_i1,85.0
5887,TRINITY_DN15307_c0_g1_i1,85.0
5913,TRINITY_DN15330_c0_g1_i1,85.0
10758,TRINITY_DN1933_c0_g1_i1,85.0
1109,TRINITY_DN10946_c0_g1_i1,84.0
566,TRINITY_DN1045_c0_g1_i1,84.0
835,TRINITY_DN10710_c0_g1_i1,84.0
6245,TRINITY_DN155_c0_g1_i1,83.0
1839,TRINITY_DN11553_c0_g1_i1,82.0
1389,TRINITY_DN11176_c0_g1_i1,82.0
5950,TRINITY_DN15364_c0_g1_i1,82.0
6500,TRINITY_DN1580_c0_g1_i1,82.0
6797,TRINITY_DN16038_c0_g1_i1,81.0
7012,TRINITY_DN16215_c0_g1_i1,81.0
11642,TRINITY_DN200_c0_g1_i3,81.0
1653,TRINITY_DN11392_c0_g1_i1,80.0
5420,TRINITY_DN14832_c0_g1_i1,80.0
2951,TRINITY_DN12535_c0_g1_i1,80.0
300,TRINITY_DN10239_c0_g1_i1,80.0
37,TRINITY_DN10025_c0_g1_i1,80.0
105,TRINITY_DN10080_c0_g1_i1,79.0
6330,TRINITY_DN15670_c0_g1_i1,79.0
4186,TRINITY_DN1366_c0_g1_i1,79.0
1409,TRINITY_DN11192_c0_g1_i1,78.0
754,TRINITY_DN10638_c0_g1_i1,78.0
3168,TRINITY_DN1271_c0_g1_i1,78.0
1403,TRINITY_DN11189_c0_g1_i1,78.0
6825,TRINITY_DN16060_c0_g1_i1,77.0
1134,TRINITY_DN10966_c0_g1_i1,77.0
575,TRINITY_DN10468_c0_g1_i1,77.0
6763,TRINITY_DN1600_c0_g1_i1,77.0
3713,TRINITY_DN13210_c0_g1_i1,77.0
5840,TRINITY_DN15267_c0_g1_i1,77.0
3578,TRINITY_DN13082_c0_g1_i1,76.0
6807,TRINITY_DN16047_c0_g1_i1,76.0
7302,TRINITY_DN16438_c0_g1_i1,76.0
1748,TRINITY_DN11475_c0_g1_i1,76.0
473,TRINITY_DN10374_c0_g1_i1,76.0
6019,TRINITY_DN15416_c0_g1_i1,76.0
6257,TRINITY_DN15609_c0_g1_i1,76.0
799,TRINITY_DN10681_c0_g1_i1,76.0
465,TRINITY_DN10366_c0_g1_i1,75.0
6623,TRINITY_DN15909_c0_g1_i1,75.0
6514,TRINITY_DN15822_c0_g1_i1,75.0
1735,TRINITY_DN11463_c0_g1_i1,75.0
3211,TRINITY_DN12745_c0_g1_i1,75.0
2136,TRINITY_DN1179_c0_g1_i1,75.0
2669,TRINITY_DN1228_c0_g1_i1,75.0
23,TRINITY_DN10019_c0_g1_i1,74.0
5573,TRINITY_DN1500_c0_g1_i1,74.0
5877,TRINITY_DN1529_c0_g1_i1,74.0
102,TRINITY_DN10079_c0_g1_i1,73.0
6243,TRINITY_DN15599_c0_g1_i1,73.0
6576,TRINITY_DN15867_c0_g1_i1,73.0
2116,TRINITY_DN11780_c0_g1_i1,73.0
585,TRINITY_DN10477_c0_g1_i1,73.0
82,TRINITY_DN1005_c0_g1_i1,73.0
121,TRINITY_DN10095_c0_g1_i1,73.0
1056,TRINITY_DN1089_c0_g1_i1,72.0
6989,TRINITY_DN16197_c0_g1_i1,72.0
11039,TRINITY_DN1958_c0_g1_i1,72.0
556,TRINITY_DN1044_c0_g1_i1,72.0
1614,TRINITY_DN11364_c0_g1_i1,72.0
7004,TRINITY_DN16209_c0_g1_i1,72.0
154,TRINITY_DN10122_c0_g1_i1,72.0
420,TRINITY_DN10337_c0_g1_i1,71.0
6972,TRINITY_DN16183_c0_g1_i1,71.0
6932,TRINITY_DN16150_c0_g1_i1,71.0
5791,TRINITY_DN15227_c0_g1_i1,71.0
6434,TRINITY_DN15755_c0_g1_i1,71.0
6248,TRINITY_DN15600_c0_g1_i1,71.0
1523,TRINITY_DN11289_c0_g1_i1,71.0
588,TRINITY_DN1047_c0_g1_i1,71.0
